,Unnamed: 0,Play,Expert,Odds,Units,Payout,Team,Name,Opponent,Hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
33,33,F.Freeman o0.5 HR,charliedisturco,425,0.1,0.525,Los Angeles Dodgers,F.Freeman,Chicago White Sox,1.0,0.425,N,0.1323529411764706,0,0.4,0,0.2,0
34,34,C.Walker o1.5 Total Bases,NicholaskMartin,115,1.15,2.4725,Arizona Diamondbacks,C.Walker,Philadelphia Phillies,1.0,1.3224999999999998,Y,0.390625,0,0.6,1,0.6,1
35,35,C.Walker o1.5 Total Bases,charliedisturco,125,0.63,1.4175,Arizona Diamondbacks,C.Walker,Philadelphia Phillies,1.0,0.7875,Y,0.390625,0,0.6,1,0.6,1
36,36,C.Walker o0.5 HR,charliedisturco,600,0.6,4.2,Arizona Diamondbacks,C.Walker,Philadelphia Phillies,1.0,3.6,Y,0.171875,0,0.2,0,0.1,0
37,37,C.Yelich o0.5 Runs Scored,Thespinzone,-103,0.11,0.2167961165048543,Milwaukee Brewers,C.Yelich,Minnesota Twins,0.0,0.1067961165048543,N,0.4769230769230769,0,0.4,0,0.4,0
38,38,E.Julien o0.5 Runs Scored,Thespinzone,100,0.11,0.22,Minnesota Twins,E.Julien,Milwaukee Brewers,1.0,0.11,Y,0.3478260869565217,0,0.8,1,0.5,0
39,39,T.Glasnow u8.5 Ks,jimsannes,-116,0.86,1.6013793103448275,Tampa Bay Rays,T.Glasnow,Oakland Athletics,0.0,0.7413793103448275,Y,1.0,1,1.0,1,1.0,1
40,40,Y.Diaz u1.5 hits,Teddy Ricketson,-230,1.0,1.434782608695652,Houston Astros,Y.Diaz,Washington Nationals,1.0,,Y,0.8333333333333334,1,1.0,1,0.8,1
41,41,K.Marte o1.5 total bases,Teddy Ricketson,-110,1.0,1.9090909090909087,Arizona Diamondbacks,K.Marte,Philadelphia Phillies,1.0,,N,0.365079365079365,0,0.2,0,0.3,0
42,42,K.Clemens o0.5 hits,Dan Servodidio,-110,1.0,1.9090909090909087,Philadelphia Phillies,K.Clemens,Arizona Diamondbacks,0.0,,N,0.5675675675675675,1,0.6,1,0.7,1
0,0,M.Conforto o0.5 RBI,charliedisturco,100,0.5,1.0,San Francisco Giants,M.Conforto,San Diego Padres,0.0,0.5,N,0.2608695652173913,0,0.2,0,0.3,0
1,1,J.Soto o0.5 RBI,NicholaskMartin,-125,0.6,1.08,San Diego Padres,J.Soto,San Francisco Giants,1.0,0.4800000000000001,Y,0.2758620689655172,0,0.4,0,0.3,0
2,2,M.Carpenter o0.5 HR,NicholaskMartin,340,0.35,1.54,San Diego Padres,M.Carpenter,San Francisco Giants,1.0,1.19,N,0.0952380952380952,0,0.2,0,0.1,0
3,3,J.Soto o1.5 HR,NicholaskMartin,1800,0.1,1.9,San Diego Padres,J.Soto,San Francisco Giants,1.0,1.7999999999999998,N,0.0,0,0.0,0,0.0,0
4,4,M.Carpenter o0.5 RBI,Zerillo,-130,0.1,0.1769230769230769,San Diego Padres,M.Carpenter,San Francisco Giants,1.0,0.0769230769230769,Y,0.3809523809523809,0,0.8,1,0.5,0
5,5,M.Carpenter o0.5 HR,Zerillo,350,0.1,0.45,San Diego Padres,M.Carpenter,San Francisco Giants,1.0,0.35,N,0.0952380952380952,0,0.2,0,0.1,0
6,6,Y.Darvish o5.5 Ks,_Collin1,124,0.62,1.3888,San Diego Padres,Y.Darvish,San Francisco Giants,1.0,0.7688,Y,0.4,0,0.4,0,0.4,0
7,7,M.Conforto o0.5 RBI,Zerillo,-105,0.11,0.2147619047619047,San Francisco Giants,M.Conforto,San Diego Padres,0.0,0.1047619047619047,N,0.2608695652173913,0,0.2,0,0.3,0
8,8,X.Bogaerts o0.5 RBI,Zerillo,-141,0.14,0.239290780141844,San Diego Padres,X.Bogaerts,San Francisco Giants,1.0,0.0992907801418439,N,0.2758620689655172,0,0.2,0,0.2,0
9,9,T.Estrada o0.5 RBI,Zerillo,105,0.1,0.205,San Francisco Giants,T.Estrada,San Diego Padres,0.0,0.1049999999999999,N,0.3076923076923077,0,0.2,0,0.2,0
10,10,J.Cronenworth o0.5 HR,Zerillo,450,0.1,0.55,San Diego Padres,J.Cronenworth,San Francisco Giants,1.0,0.45,N,0.0714285714285714,0,0.0,0,0.0,0
11,11,J.Soto o0.5 RBI,Zerillo,-129,0.1,0.1775193798449612,San Diego Padres,J.Soto,San Francisco Giants,1.0,0.0775193798449611,Y,0.2758620689655172,0,0.4,0,0.3,0
12,12,Y.Darvish u5.5 Ks,SBK5065,-130,0.65,1.15,San Diego Padres,Y.Darvish,San Francisco Giants,1.0,0.4999999999999999,N,0.6,1,0.6,1,0.6,1
13,13,Y.Darvish u5.5 Ks,PropBetGuy,-130,1.3,2.3,San Diego Padres,Y.Darvish,San Francisco Giants,1.0,0.9999999999999998,N,0.6,1,0.6,1,0.6,1
14,14,Y.Gomes o0.5 RBI,Thespinzone,220,0.08,0.256,Chicago Cubs,Y.Gomes,Miami Marlins,0.0,0.176,N,0.5555555555555556,1,0.4,0,0.5,0
15,15,G.Hampson o0.5 Runs Scored,Thespinzone,200,0.15,0.4499999999999999,Miami Marlins,G.Hampson,Chicago Cubs,1.0,0.2999999999999999,Y,0.4444444444444444,0,0.6,1,0.6,1
16,16,J.Steele o5.5 Ks,PropBetGuy,-111,1.11,2.1100000000000003,Chicago Cubs,J.Steele,Miami Marlins,0.0,1.0000000000000002,N,0.3333333333333333,0,0.2,0,0.3333333333333333,0
17,17,N.Syndergaard o2.5 Earned Runs,PropBetGuy,-110,1.0,1.9090909090909087,Los Angeles Dodgers,N.Syndergaard,St. Louis Cardinals,1.0,0.9090909090909088,Y,0.6666666666666666,1,0.8,1,0.6666666666666666,1
18,18,R.Devers o0.5 RBI,Thespinzone,140,0.08,0.192,Boston Red Sox,R.Devers,Cleveland Guardians,1.0,0.112,N,0.5357142857142857,1,0.4,0,0.6,1
19,19,M.Chapman o0.5 RBI,Thespinzone,100,0.1,0.2,Toronto Blue Jays,M.Chapman,Seattle Mariners,1.0,0.1,Y,0.4814814814814814,0,0.4,0,0.3,0
20,20,K.Waldichuk o4.5 Ks,_Collin1,-117,0.5,0.9273504273504274,Oakland Athletics,K.Waldichuk,Cincinnati Reds,1.0,0.4273504273504274,Y,0.3333333333333333,0,0.4,0,0.3333333333333333,0
0,0,G.Torres o0.5 RBI,Thespinzone,230,0.08,0.264,New York Yankees,G.Torres,New York Mets,0.0,0.184,N,0.2537313432835821,0,0.4,0,0.2,0
1,1,F.Alvarez o0.5 HR,Thespinzone,575,0.08,0.54,New York Mets,F.Alvarez,New York Yankees,1.0,0.46,N,0.1777777777777777,0,0.2,0,0.2,0
2,2,G.Torres o0.5 Runs Scored,Thespinzone,160,0.1,0.26,New York Yankees,G.Torres,New York Mets,0.0,0.16,N,0.4776119402985074,0,0.4,0,0.2,0
3,3,F.Lindor o1.5 RBI,charliedisturco,500,0.1,0.6000000000000001,New York Mets,F.Lindor,New York Yankees,1.0,0.5000000000000001,N,0.1492537313432835,0,0.0,0,0.1,0
